BA_Code,Interconnection
AEC,EIC
AECI,EIC
AVA,WECC
AZPS,WECC
BANC,WECC
BPAT,WECC
CHPD,WECC
CISO,WECC
CPLE,EIC
DOPD,WECC
DUK,EIC
EPE,WECC
ERCO,ERCOT
FMPP,EIC
FPC,EIC
FPL,EIC
GCPD,WECC
GVL,EIC
HST,EIC
IID,WECC
IPCO,WECC
ISNE,EIC
JEA,EIC
LDWP,WECC
LGEE,EIC
MISO,EIC
NEVP,WECC
NSB,EIC
NWMT,WECC
NYIS,EIC
PACE,WECC
PACW,WECC
PGE,WECC
PJM,EIC
PNM,WECC
PSCO,WECC
PSEI,WECC
SC,EIC
SCEG,EIC
SCL,WECC
SEC,EIC
SOCO,EIC
SPA,EIC
SRP,WECC
SWPP,EIC
TAL,EIC
TEC,EIC
TEPC,WECC
TIDC,WECC
TPWR,WECC
TVA,EIC
WACM,WECC
WALC,WECC
WAUW,WECC
