Scenario,Year,Interconnection,Total_Load_TWh,Peak_Load_MWh,Total_Load_Normalized,Peak_Load_Normalized
historic,1980.0,EIC,1128.9463800899998,211209.53999999998,0.37,0.374
historic,1980.0,WECC,271.55354188999996,49354.130000000005,0.344,0.35
historic,1980.0,ERCOT,98.56859647,20498.56,0.302,0.313
historic,1981.0,EIC,1239.22002117,229536.83000000002,0.406,0.407
historic,1981.0,WECC,300.36326404000005,52510.3,0.381,0.372
historic,1981.0,ERCOT,108.88236846,21321.43,0.334,0.326
historic,1982.0,EIC,1349.09854955,250812.52,0.442,0.444
historic,1982.0,WECC,329.1419347,56159.94,0.417,0.398
historic,1982.0,ERCOT,119.62230446,23881.47,0.367,0.365
historic,1983.0,EIC,1459.98075454,270850.93,0.479,0.48
historic,1983.0,WECC,357.78778368,64112.87,0.453,0.455
historic,1983.0,ERCOT,129.49138331999998,25677.63,0.397,0.393
historic,1984.0,EIC,1569.4991863900002,281667.75,0.514,0.499
historic,1984.0,WECC,386.56558443,66528.09,0.49,0.472
historic,1984.0,ERCOT,140.59228969999998,27546.47,0.431,0.421
historic,1985.0,EIC,1679.29072728,317220.73,0.55,0.562
historic,1985.0,WECC,415.21537373,76729.13,0.526,0.544
historic,1985.0,ERCOT,151.54809125999998,29291.14,0.464,0.448
historic,1986.0,EIC,1790.0294528499999,331703.18,0.587,0.588
historic,1986.0,WECC,443.94755153,76601.63,0.563,0.543
historic,1986.0,ERCOT,161.4743231,33267.75,0.495,0.509
historic,1987.0,EIC,1900.51568619,354330.07,0.623,0.628
historic,1987.0,WECC,472.69720621,80905.86,0.599,0.574
historic,1987.0,ERCOT,171.63557206000002,33926.42,0.526,0.519
historic,1988.0,EIC,2010.7133081099998,371845.07,0.659,0.659
historic,1988.0,WECC,501.32172169,88757.64,0.635,0.63
historic,1988.0,ERCOT,182.21056771000002,36911.82,0.558,0.564
historic,1989.0,EIC,2120.38803461,387550.13,0.695,0.687
historic,1989.0,WECC,530.17802997,95155.03,0.672,0.675
historic,1989.0,ERCOT,193.07666863999998,37501.05,0.592,0.573
historic,1990.0,EIC,2230.16733565,421386.51,0.731,0.747
historic,1990.0,WECC,558.9404308200001,101028.6,0.708,0.717
historic,1990.0,ERCOT,203.93209593,40896.91,0.625,0.625
historic,1991.0,EIC,2286.01881885,415482.18,0.749,0.736
historic,1991.0,WECC,568.0058367,99956.0,0.72,0.709
historic,1991.0,ERCOT,208.64211163,39897.03,0.639,0.61
historic,1992.0,EIC,2339.79177463,423859.76999999996,0.767,0.751
historic,1992.0,WECC,577.67729736,102639.68,0.732,0.728
historic,1992.0,ERCOT,214.82459156000002,42414.12,0.658,0.648
historic,1993.0,EIC,2395.36784311,433956.01,0.785,0.769
historic,1993.0,WECC,586.63010836,107497.79000000001,0.744,0.762
historic,1993.0,ERCOT,219.92260808,43440.36,0.674,0.664
historic,1994.0,EIC,2449.9556049499997,462201.52,0.803,0.819
historic,1994.0,WECC,595.98194046,105138.38,0.755,0.746
historic,1994.0,ERCOT,225.6099129,46061.86,0.691,0.704
historic,1995.0,EIC,2505.31038158,477043.38,0.821,0.845
historic,1995.0,WECC,605.134114,110466.92,0.767,0.784
historic,1995.0,ERCOT,230.72985902000002,48783.62,0.707,0.746
historic,1996.0,EIC,2559.4465316,457413.57,0.839,0.81
historic,1996.0,WECC,614.3076672899999,113876.84,0.779,0.808
historic,1996.0,ERCOT,237.04705188999998,46645.01,0.727,0.713
historic,1997.0,EIC,2614.41202148,477514.94,0.857,0.846
historic,1997.0,WECC,623.72347206,112802.11,0.791,0.8
historic,1997.0,ERCOT,242.29265287,47120.99,0.743,0.72
historic,1998.0,EIC,2668.5847282600002,489601.8,0.875,0.867
historic,1998.0,WECC,632.76646857,118399.67,0.802,0.84
historic,1998.0,ERCOT,248.70384978,49298.02,0.762,0.754
historic,1999.0,EIC,2724.2643587199996,528103.5700000001,0.893,0.936
historic,1999.0,WECC,642.24302604,113128.37,0.814,0.802
historic,1999.0,ERCOT,253.17456275,51324.23,0.776,0.785
historic,2000.0,EIC,2778.71547977,503868.51,0.911,0.893
historic,2000.0,WECC,651.24774144,117143.12999999999,0.825,0.831
historic,2000.0,ERCOT,259.34561992,53448.17,0.795,0.817
historic,2001.0,EIC,2834.5882503400003,532655.52,0.929,0.944
historic,2001.0,WECC,660.69381528,120999.91,0.837,0.858
historic,2001.0,ERCOT,263.65367907,52307.23,0.808,0.8
historic,2002.0,EIC,2889.96029998,523139.5,0.947,0.927
historic,2002.0,WECC,669.9357525700001,121769.03,0.849,0.864
historic,2002.0,ERCOT,268.66658401,53320.84,0.823,0.815
historic,2003.0,EIC,2944.8105191,522549.32,0.965,0.926
historic,2003.0,WECC,679.16788261,122861.5,0.861,0.871
historic,2003.0,ERCOT,274.2111332,57043.17,0.84,0.872
historic,2004.0,EIC,3000.1564311300003,525960.27,0.983,0.932
historic,2004.0,WECC,688.40261527,122634.5,0.873,0.87
historic,2004.0,ERCOT,279.25738279,54587.49,0.856,0.835
historic,2005.0,EIC,3055.85498093,559083.71,1.002,0.991
historic,2005.0,WECC,697.3835664500001,128837.09999999999,0.884,0.914
historic,2005.0,ERCOT,284.20478267000004,55005.77,0.871,0.841
historic,2006.0,EIC,3062.16053035,599418.33,1.004,1.062
historic,2006.0,WECC,702.42121436,136472.61,0.89,0.968
historic,2006.0,ERCOT,287.16838282,57397.91,0.88,0.878
historic,2007.0,EIC,3069.96984064,576857.27,1.006,1.022
historic,2007.0,WECC,707.60349831,129401.5,0.897,0.918
historic,2007.0,ERCOT,288.48357859,57327.61,0.884,0.876
historic,2008.0,EIC,3075.2338832,553570.21,1.008,0.981
historic,2008.0,WECC,712.4470397,125181.79,0.903,0.888
historic,2008.0,ERCOT,292.68279279,57894.86,0.897,0.885
historic,2009.0,EIC,3080.1844594299996,570459.47,1.01,1.011
historic,2009.0,WECC,717.50089511,131103.25,0.909,0.93
historic,2009.0,ERCOT,296.98515912,59898.88,0.91,0.916
historic,2010.0,EIC,3088.48163079,569980.19,1.012,1.01
historic,2010.0,WECC,722.05703827,133822.76,0.915,0.949
historic,2010.0,ERCOT,298.4386414,60928.34,0.915,0.931
historic,2011.0,EIC,3071.9240748800003,582625.15,1.007,1.032
historic,2011.0,WECC,723.3749705700001,127961.76000000001,0.917,0.908
historic,2011.0,ERCOT,304.55694629000004,60936.29,0.933,0.932
historic,2012.0,EIC,3057.78273581,584083.65,1.002,1.035
historic,2012.0,WECC,725.01203029,131409.1,0.919,0.932
historic,2012.0,ERCOT,307.93990651999997,62686.3,0.944,0.958
historic,2013.0,EIC,3044.10300504,554449.98,0.998,0.982
historic,2013.0,WECC,726.31671922,135389.68,0.921,0.96
historic,2013.0,ERCOT,311.19363937,62134.37,0.954,0.95
historic,2014.0,EIC,3030.16290448,543491.48,0.993,0.963
historic,2014.0,WECC,727.5309390900001,128161.51999999999,0.922,0.909
historic,2014.0,ERCOT,314.79820187,60487.49,0.965,0.925
historic,2015.0,EIC,3014.99210112,537125.6,0.988,0.952
historic,2015.0,WECC,729.1581116599999,132130.47,0.924,0.937
historic,2015.0,ERCOT,319.22051699,63895.03,0.978,0.977
historic,2016.0,EIC,3025.19540325,560082.4,0.992,0.992
historic,2016.0,WECC,744.0661652599999,136952.09,0.943,0.971
historic,2016.0,ERCOT,319.74619142,64296.44,0.98,0.983
historic,2017.0,EIC,3032.67771116,566599.84,0.994,1.004
historic,2017.0,WECC,759.21890046,138166.54,0.962,0.98
historic,2017.0,ERCOT,322.74817662,64808.92,0.989,0.991
historic,2018.0,EIC,3042.39322023,544323.6799999999,0.997,0.964
historic,2018.0,WECC,773.7201175399999,144117.69999999998,0.981,1.022
historic,2018.0,ERCOT,324.16848095999995,65759.77,0.994,1.005
historic,2019.0,EIC,3050.68911956,564406.03,1.0,1.0
historic,2019.0,WECC,788.94826614,140987.63,1.0,1.0
historic,2019.0,ERCOT,326.28146305,65408.85,1.0,1.0
rcp45cooler_ssp3,2020.0,EIC,3058.11439762,588453.85,1.002,1.043
rcp45cooler_ssp3,2020.0,WECC,803.56215734,155426.36000000002,1.019,1.102
rcp45cooler_ssp3,2020.0,ERCOT,329.87932451999995,68597.04,1.011,1.049
rcp45cooler_ssp3,2021.0,EIC,3048.89631188,581077.42,0.999,1.03
rcp45cooler_ssp3,2021.0,WECC,810.1506561,151655.21,1.027,1.076
rcp45cooler_ssp3,2021.0,ERCOT,329.39668288,65895.58,1.01,1.007
rcp45cooler_ssp3,2022.0,EIC,3038.07730241,557994.71,0.996,0.989
rcp45cooler_ssp3,2022.0,WECC,816.5567995900001,152647.22,1.035,1.083
rcp45cooler_ssp3,2022.0,ERCOT,330.69732777999997,66075.81,1.014,1.01
rcp45cooler_ssp3,2023.0,EIC,3030.1315157800004,580743.42,0.993,1.029
rcp45cooler_ssp3,2023.0,WECC,822.75599649,159172.13,1.043,1.129
rcp45cooler_ssp3,2023.0,ERCOT,329.33169189999995,66624.8,1.009,1.019
rcp45cooler_ssp3,2024.0,EIC,3018.23289235,561325.22,0.989,0.995
rcp45cooler_ssp3,2024.0,WECC,829.1472556599999,151213.97,1.051,1.073
rcp45cooler_ssp3,2024.0,ERCOT,331.72682704000005,68822.01,1.017,1.052
rcp45cooler_ssp3,2025.0,EIC,3007.8122435500004,542764.85,0.986,0.962
rcp45cooler_ssp3,2025.0,WECC,835.3203241900001,161473.62,1.059,1.145
rcp45cooler_ssp3,2025.0,ERCOT,332.86218093,65802.02,1.02,1.006
rcp45cooler_ssp3,2026.0,EIC,3019.4168589,570263.68,0.99,1.01
rcp45cooler_ssp3,2026.0,WECC,841.62935559,154381.52,1.067,1.095
rcp45cooler_ssp3,2026.0,ERCOT,333.43614727,70286.29,1.022,1.075
rcp45cooler_ssp3,2027.0,EIC,3030.75822742,579545.76,0.993,1.027
rcp45cooler_ssp3,2027.0,WECC,848.0001787,152861.84,1.075,1.084
