Scenario,Year,State,Total_Load_TWh,Peak_Load_MWh,Total_Load_Normalized,Peak_Load_Normalized
historic,1980.0,Alabama,37.04681283,7278.69,0.394,0.411
historic,1980.0,Arizona,20.66826797,4721.41,0.231,0.233
historic,1980.0,Arkansas,14.46990115,2632.0,0.289,0.296
historic,1980.0,California,112.37071255,23663.22,0.354,0.381
historic,1980.0,Colorado,14.78531078,2598.85,0.243,0.237
historic,1980.0,Connecticut,13.75034926,2652.71,0.432,0.431
historic,1980.0,Delaware,4.59402039,917.87,0.363,0.359
historic,1980.0,District of Columbia,5.4411112,1087.12,0.415,0.41
historic,1980.0,Florida,63.42256965,12233.31,0.235,0.236
historic,1980.0,Georgia,39.96027617,7700.45,0.266,0.271
historic,1980.0,Idaho,10.369965449999999,1954.52,0.393,0.395
historic,1980.0,Illinois,63.44566448,12070.85,0.419,0.411
historic,1980.0,Indiana,46.563056380000006,8433.94,0.442,0.437
historic,1980.0,Iowa,15.78994717,2863.33,0.305,0.312
historic,1980.0,Kansas,14.565615939999999,2837.55,0.32,0.335
historic,1980.0,Kentucky,44.84291163,8724.79,0.551,0.57
historic,1980.0,Louisiana,34.168120710000004,6135.31,0.359,0.365
historic,1980.0,Maine,6.02090526,1161.55,0.488,0.487
historic,1980.0,Maryland,24.931008969999997,4981.15,0.346,0.342
historic,1980.0,Massachusetts,22.22573998,4287.78,0.364,0.363
historic,1980.0,Michigan,51.30992061,9171.94,0.478,0.479
historic,1980.0,Minnesota,25.619880350000003,4574.89,0.348,0.353
historic,1980.0,Mississippi,16.7945062,3109.89,0.324,0.34
historic,1980.0,Missouri,28.64464274,5322.65,0.311,0.324
historic,1980.0,Montana,8.51352494,1337.53,0.562,0.569
historic,1980.0,Nebraska,8.9703769,1731.68,0.273,0.285
historic,1980.0,Nevada,7.63194531,1652.9,0.185,0.192
historic,1980.0,New Hampshire,4.6245411,892.16,0.381,0.38
historic,1980.0,New Jersey,33.86860739,6719.26,0.394,0.389
historic,1980.0,New Mexico,6.56048655,1207.41,0.268,0.27
historic,1980.0,New York,69.49677468,13655.78,0.403,0.418
historic,1980.0,North Carolina,48.42595608,9788.31,0.321,0.344
historic,1980.0,North Dakota,3.30066333,608.39,0.169,0.174
historic,1980.0,Ohio,92.66476802,18514.19,0.596,0.589
historic,1980.0,Oklahoma,20.95675229,4095.75,0.313,0.328
historic,1980.0,Oregon,24.856216789999998,4769.17,0.452,0.52
historic,1980.0,Pennsylvania,72.5487987,14492.69,0.46,0.454
historic,1980.0,Rhode Island,3.22360094,621.9,0.38,0.379
historic,1980.0,South Carolina,29.91821085,6608.64,0.335,0.398
historic,1980.0,South Dakota,3.10130302,560.72,0.233,0.239
historic,1980.0,Tennessee,55.881959880000004,11109.19,0.498,0.524
historic,1980.0,Texas,127.57941623,25398.38,0.292,0.306
historic,1980.0,Utah,7.9090748,1347.02,0.22,0.219
historic,1980.0,Vermont,2.35433584,454.2,0.395,0.395
historic,1980.0,Virginia,33.89896747,6762.43,0.267,0.264
historic,1980.0,Washington,53.39872502,10427.98,0.494,0.55
historic,1980.0,West Virginia,15.12068747,3021.08,0.469,0.463
historic,1980.0,Wisconsin,26.074218730000002,4633.06,0.356,0.36
historic,1980.0,Wyoming,6.38738707,1020.49,0.39,0.389
historic,1981.0,Alabama,39.97952367,7972.15,0.425,0.45
historic,1981.0,Arizona,23.233545489999997,5242.1,0.259,0.259
historic,1981.0,Arkansas,16.053072359999998,2849.25,0.321,0.32
historic,1981.0,California,124.62245414,25579.37,0.393,0.412
historic,1981.0,Colorado,16.74157378,2956.25,0.276,0.27
historic,1981.0,Connecticut,15.39146247,2921.89,0.483,0.475
historic,1981.0,Delaware,5.04888843,995.57,0.399,0.389
historic,1981.0,District of Columbia,5.98254428,1179.68,0.456,0.445
historic,1981.0,Florida,73.06787252,14210.29,0.271,0.274
historic,1981.0,Georgia,44.88491647,8711.98,0.299,0.306
historic,1981.0,Idaho,11.32630285,2052.58,0.429,0.414
historic,1981.0,Illinois,69.46611372,13155.77,0.459,0.448
historic,1981.0,Indiana,50.08749471,9026.17,0.476,0.468
historic,1981.0,Iowa,17.479382219999998,3089.71,0.338,0.337
historic,1981.0,Kansas,16.126073650000002,3052.87,0.354,0.36
historic,1981.0,Kentucky,47.0988472,8842.17,0.579,0.578
historic,1981.0,Louisiana,37.81568113,6626.27,0.397,0.394
historic,1981.0,Maine,6.69007549,1270.03,0.542,0.532
historic,1981.0,Maryland,27.921744620000002,5505.79,0.388,0.378
historic,1981.0,Massachusetts,25.03638853,4752.87,0.41,0.403
historic,1981.0,Michigan,55.29115898,9719.87,0.515,0.508
historic,1981.0,Minnesota,28.27673047,4927.52,0.385,0.38
historic,1981.0,Mississippi,18.67320141,3357.41,0.36,0.367
historic,1981.0,Missouri,31.774284190000003,5730.82,0.345,0.349
historic,1981.0,Montana,9.10825551,1436.42,0.601,0.611
historic,1981.0,Nebraska,10.0571666,1886.74,0.306,0.311
historic,1981.0,Nevada,8.69491807,1864.9,0.211,0.217
historic,1981.0,New Hampshire,5.15267471,978.18,0.424,0.417
historic,1981.0,New Jersey,37.45778908,7362.39,0.435,0.426
historic,1981.0,New Mexico,7.43902226,1346.04,0.304,0.301
historic,1981.0,New York,76.84317245,15028.14,0.446,0.46
historic,1981.0,North Carolina,53.54239307,10758.09,0.355,0.379
historic,1981.0,North Dakota,3.7459716899999997,674.33,0.192,0.193
historic,1981.0,Ohio,99.13204721,19547.49,0.638,0.622
historic,1981.0,Oklahoma,23.57688302,4453.83,0.352,0.356
historic,1981.0,Oregon,27.12620587,4720.43,0.494,0.515
historic,1981.0,Pennsylvania,78.01133893000001,15381.62,0.494,0.482
historic,1981.0,Rhode Island,3.61103767,685.51,0.425,0.418
historic,1981.0,South Carolina,33.0909313,6709.09,0.371,0.404
historic,1981.0,South Dakota,3.49680518,615.27,0.262,0.263
historic,1981.0,Tennessee,58.82394885,12012.7,0.524,0.567
historic,1981.0,Texas,141.18628915,26828.58,0.323,0.323
historic,1981.0,Utah,8.831998279999999,1516.39,0.245,0.246
historic,1981.0,Vermont,2.63981757,501.14,0.443,0.436
historic,1981.0,Virginia,38.5804299,7580.84,0.304,0.296
historic,1981.0,Washington,58.12343712,10553.79,0.538,0.556
historic,1981.0,West Virginia,16.16597493,3187.71,0.501,0.489
historic,1981.0,Wisconsin,28.91514423,5025.73,0.395,0.39
historic,1981.0,Wyoming,7.04266651,1124.68,0.43,0.428
historic,1982.0,Alabama,42.91223486,10494.02,0.456,0.592
historic,1982.0,Arizona,25.798823260000002,5784.48,0.288,0.285
historic,1982.0,Arkansas,17.63624412,3059.61,0.352,0.344
historic,1982.0,California,136.87419653999999,27251.04,0.432,0.439
historic,1982.0,Colorado,18.69783598,3209.72,0.308,0.293
historic,1982.0,Connecticut,17.032574699999998,3368.95,0.535,0.547
historic,1982.0,Delaware,5.50375603,1040.76,0.435,0.407
historic,1982.0,District of Columbia,6.523977769999999,1233.69,0.497,0.465
historic,1982.0,Florida,82.71317523,16392.51,0.306,0.316
historic,1982.0,Georgia,49.809556289999996,12091.92,0.332,0.425
historic,1982.0,Idaho,12.28264072,2160.39,0.465,0.436
historic,1982.0,Illinois,75.48656256,13776.21,0.498,0.469
historic,1982.0,Indiana,53.611934049999995,9395.43,0.509,0.487
historic,1982.0,Iowa,19.168818050000002,3319.33,0.37,0.362
historic,1982.0,Kansas,17.68653141,3257.01,0.388,0.384
historic,1982.0,Kentucky,49.354782130000004,9876.88,0.607,0.646
historic,1982.0,Louisiana,41.46324112,7098.2,0.435,0.422
historic,1982.0,Maine,7.359245179999999,1455.62,0.596,0.61
historic,1982.0,Maryland,30.912480629999997,5845.57,0.43,0.402
historic,1982.0,Massachusetts,27.84703719,5507.98,0.456,0.467
historic,1982.0,Michigan,59.27239669,10218.59,0.552,0.534
historic,1982.0,Minnesota,30.93358168,5292.18,0.421,0.408
historic,1982.0,Mississippi,20.55189718,4166.1,0.397,0.456
historic,1982.0,Missouri,34.90392628,6499.45,0.379,0.396
historic,1982.0,Montana,9.702985400000001,1532.48,0.64,0.651
historic,1982.0,Nebraska,11.14395641,2036.32,0.339,0.335
historic,1982.0,Nevada,9.75789135,1994.12,0.237,0.232
historic,1982.0,New Hampshire,5.68080809,1123.63,0.468,0.479
historic,1982.0,New Jersey,41.04697091,7724.21,0.477,0.447
historic,1982.0,New Mexico,8.317558309999999,1447.78,0.34,0.324
historic,1982.0,New York,84.18957075,16048.47,0.489,0.491
historic,1982.0,North Carolina,58.65883092,13212.42,0.389,0.465
historic,1982.0,North Dakota,4.19127966,738.34,0.215,0.212
historic,1982.0,Ohio,105.59932489,19968.92,0.68,0.636
historic,1982.0,Oklahoma,26.19701478,4864.89,0.391,0.389
historic,1982.0,Oregon,29.396194039999997,5572.45,0.535,0.608
historic,1982.0,Pennsylvania,83.4738788,15783.19,0.529,0.495
historic,1982.0,Rhode Island,3.99847457,790.88,0.471,0.482
historic,1982.0,South Carolina,36.26365157,8520.82,0.406,0.514
historic,1982.0,South Dakota,3.89230756,675.89,0.292,0.288
historic,1982.0,Tennessee,61.76593841,14369.83,0.551,0.678
historic,1982.0,Texas,154.79316113,29545.09,0.354,0.356
historic,1982.0,Utah,9.75492274,1675.54,0.271,0.272
historic,1982.0,Vermont,2.9252996600000003,578.61,0.491,0.503
historic,1982.0,Virginia,43.261891850000005,8171.63,0.34,0.319
historic,1982.0,Washington,62.84814957,12165.05,0.582,0.641
historic,1982.0,West Virginia,17.21126254,3254.66,0.534,0.499
historic,1982.0,Wisconsin,31.75607006,5434.12,0.434,0.422
historic,1982.0,Wyoming,7.6979465099999995,1239.87,0.47,0.472
historic,1983.0,Alabama,45.8449465,9316.47,0.487,0.526
historic,1983.0,Arizona,28.364100760000003,6312.88,0.316,0.311
historic,1983.0,Arkansas,19.219414829999998,3427.99,0.384,0.385
historic,1983.0,California,149.12593814,30935.4,0.47,0.498
historic,1983.0,Colorado,20.65409834,3553.12,0.34,0.324
historic,1983.0,Connecticut,18.67368754,3462.25,0.586,0.562
historic,1983.0,Delaware,5.95862419,1183.28,0.471,0.462
historic,1983.0,District of Columbia,7.06541034,1403.07,0.539,0.529
historic,1983.0,Florida,92.35847790000001,17751.83,0.342,0.342
