Year,BA,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,AEC,7.98,1.42,13.14,1.53,27.27,2.45
2020,AECI,49.05,1.91,90.94,2.34,34.17,0.73
2020,AVA,19.46,1.28,17.37,0.82,9.31,0.35
2020,AZPS,50.11,1.18,118.01,1.81,49.74,0.61
2020,BANC,28.96,1.28,63.53,1.85,219.16,4.41
2020,BPAT,83.55,1.17,91.89,1.0,74.77,0.6
2020,CHPD,4.22,1.83,4.67,1.19,3.69,0.64
2020,CISO,302.8,1.03,532.73,1.29,534.73,0.97
2020,CPLE,107.41,1.5,176.15,1.68,26.56,0.21
2020,DOPD,3.35,1.63,3.25,1.04,1.56,0.35
2020,DUK,151.72,1.19,295.06,1.67,9.45,0.04
2020,EPE,12.36,1.16,29.15,1.87,29.92,1.58
2020,ERCO,366.95,0.94,444.32,0.75,252.89,0.36
2020,FMPP,29.11,1.2,55.21,1.57,6.64,0.16
2020,FPC,98.86,1.37,177.95,1.61,123.17,0.94
2020,FPL,182.49,1.1,327.12,1.35,160.07,0.59
2020,GCPD,5.97,0.88,7.46,0.9,1.32,0.13
2020,GVL,4.75,1.78,8.08,2.01,9.15,1.85
2020,HST,1.13,1.59,1.42,1.35,0.6,0.52
2020,IID,7.21,1.44,14.71,1.64,18.49,1.51
2020,IPCO,28.32,1.3,69.38,2.27,158.14,3.94
2020,ISNE,258.83,1.48,625.05,2.73,982.22,3.37
2020,JEA,26.33,1.53,37.53,1.48,49.65,1.59
2020,LDWP,48.27,1.26,115.31,2.08,267.98,3.62
2020,LGEE,44.59,1.18,87.34,1.67,46.42,0.73
2020,MISO,578.24,0.7,1384.55,1.32,803.56,0.65
2020,NEVP,61.83,1.17,132.82,1.64,112.77,1.11
2020,NSB,1.2,2.13,2.25,2.52,0.72,0.63
2020,NWMT,9.93,0.9,12.1,0.9,15.19,0.97
2020,NYIS,274.17,1.33,734.32,2.7,854.27,2.49
2020,PACE,61.5,0.92,164.37,1.98,187.1,1.9
2020,PACW,32.32,1.22,43.82,1.3,24.32,0.57
2020,PGE,36.86,1.4,59.96,1.76,82.86,1.82
2020,PJM,1120.49,1.04,3057.34,2.12,4160.98,2.37
2020,PNM,16.66,0.92,37.09,1.53,20.54,0.72
2020,PSCO,49.13,0.91,123.51,1.76,111.58,1.29
2020,PSEI,41.69,1.09,43.6,0.84,44.12,0.68
