Year,BA,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,AEC,5.84,1.04,9.8,1.13,10.710000000000036,0.97
2020,AECI,29.54,1.17,47.13,1.19,37.36000000000058,0.78
2020,AVA,7.09,0.45,15.17,0.7,32.38000000000011,1.22
2020,AZPS,40.07,0.98,67.94,0.99,5.5900000000001455,0.06
2020,BANC,13.58,0.54,39.99,1.1,140.60999999999967,2.68
2020,BPAT,28.12,0.38,62.47,0.66,68.27000000000044,0.55
2020,CHPD,1.97,0.8,4.27,1.04,3.0799999999999272,0.53
2020,CISO,116.99,0.36,274.59,0.63,30.630000000004657,0.05
2020,CPLE,72.66,1.01,99.16,0.92,16.43000000000029,0.13
2020,DOPD,1.55,0.72,2.72,0.84,2.829999999999984,0.63
2020,DUK,109.65,0.86,199.19,1.09,147.90999999999985,0.67
2020,EPE,12.33,1.22,22.81,1.45,19.060000000000173,1.0
2020,ERCO,306.66,0.77,418.91,0.71,248.14999999999418,0.35
2020,FMPP,26.99,1.17,43.24,1.27,47.49000000000024,1.19
2020,FPC,88.69,1.28,138.46,1.29,237.17000000000007,1.85
2020,FPL,158.38,0.99,260.23,1.11,227.20999999999913,0.86
2020,GCPD,2.64,0.38,3.52,0.42,1.0299999999999727,0.1
2020,GVL,4.35,1.67,7.52,1.92,14.549999999999955,3.01
2020,HST,0.91,1.31,1.06,1.03,0.6499999999999915,0.58
2020,IID,3.83,0.71,8.34,0.88,10.419999999999845,0.81
2020,IPCO,10.92,0.52,21.61,0.71,17.609999999999673,0.44
2020,ISNE,116.42,0.66,270.22,1.15,195.04000000000087,0.65
2020,JEA,23.6,1.42,34.47,1.4,39.19999999999982,1.29
2020,LDWP,20.65,0.49,60.91,1.04,105.05000000000018,1.34
2020,LGEE,58.41,1.59,81.01,1.53,45.79999999999927,0.7
2020,MISO,608.26,0.77,974.57,0.91,1179.300000000003,0.93
2020,NEVP,20.88,0.39,51.55,0.64,22.790000000000873,0.23
2020,NSB,1.15,2.12,2.17,2.5,1.3299999999999983,1.21
2020,NWMT,3.43,0.33,3.81,0.29,4.110000000000127,0.27
2020,NYIS,156.33,0.75,323.66,1.14,190.26000000000204,0.53
2020,PACE,29.36,0.45,53.39,0.64,2.030000000000655,0.02
2020,PACW,10.73,0.4,18.52,0.54,25.579999999999927,0.59
2020,PGE,13.35,0.51,23.14,0.68,0.6900000000005093,0.02
2020,PJM,866.15,0.84,1659.91,1.12,2178.75999999998,1.2
2020,PNM,31.27,1.76,44.23,1.77,66.7800000000002,2.27
2020,PSCO,73.06,1.41,102.47,1.42,223.75,2.53
2020,PSEI,16.37,0.41,28.98,0.54,26.140000000000327,0.4
2020,SC,32.93,1.0,55.03,1.15,128.6300000000001,2.04
2020,SCEG,32.68,0.95,59.25,1.21,90.57999999999993,1.54
2020,SCL,5.55,0.42,9.97,0.57,9.720000000000255,0.46
2020,SEC,2.36,1.38,2.95,1.16,0.8600000000000136,0.29
2020,SOCO,228.88,0.81,440.48,1.09,273.4099999999962,0.58
2020,SPA,0.69,0.91,0.89,0.86,1.6199999999999903,1.36
2020,SRP,39.25,1.01,65.38,0.98,1.2400000000016007,0.01
2020,SWPP,206.11,0.61,337.12,0.7,61.04000000000087,0.11
2020,TAL,5.57,1.57,9.23,1.75,2.909999999999968,0.45
2020,TEC,37.8,1.37,56.08,1.37,4.240000000000691,0.09
2020,TEPC,20.14,1.06,36.72,1.2,37.75,1.02
2020,TIDC,1.88,0.49,4.79,0.86,4.439999999999941,0.58
2020,TPWR,3.03,0.46,5.67,0.63,6.539999999999964,0.59
2020,TVA,152.05,0.73,242.84,0.82,182.3000000000029,0.51
