Year,State,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,Alabama,114.38,1.05,161.65,0.99,178.7699999999968,0.94
2020,Arizona,233.66,2.0,541.54,2.98,721.0200000000004,3.28
2020,Arkansas,39.29,0.66,67.58,0.82,80.52000000000044,0.84
2020,California,438.24,1.13,755.06,1.35,910.8399999999965,1.24
2020,Colorado,119.36,1.63,184.17,1.87,243.8199999999997,2.06
2020,Connecticut,2.15,0.06,5.15,0.1,9.930000000000291,0.15
2020,Delaware,2.54,0.17,4.18,0.19,3.4200000000000728,0.13
2020,District of Columbia,3.43,0.23,4.59,0.2,7.370000000000346,0.26
2020,Florida,503.51,1.58,722.62,1.5,691.1299999999974,1.26
2020,Georgia,203.68,1.17,284.78,1.08,310.96000000000276,1.01
2020,Idaho,38.44,1.19,83.42,1.93,119.35999999999967,2.15
2020,Illinois,38.84,0.2,99.76,0.38,182.88999999999942,0.59
2020,Indiana,92.86,0.76,108.44,0.63,145.84999999999854,0.72
2020,Iowa,27.76,0.48,23.78,0.28,38.43000000000029,0.39
2020,Kansas,59.82,1.1,98.84,1.21,128.01000000000022,1.34
2020,Kentucky,89.34,0.93,136.68,0.98,183.6600000000035,1.09
2020,Louisiana,11.2,0.1,29.23,0.19,13.450000000000728,0.08
2020,Maine,7.52,0.53,12.1,0.61,17.120000000000346,0.68
2020,Maryland,77.16,0.92,112.61,0.89,147.5699999999997,0.95
2020,Massachusetts,60.9,0.85,93.2,0.93,127.46000000000095,1.0
2020,Michigan,47.91,0.4,31.59,0.19,59.140000000003056,0.29
2020,Minnesota,38.29,0.47,21.74,0.19,45.030000000000655,0.33
2020,Mississippi,26.86,0.46,26.51,0.31,31.909999999999854,0.32
2020,Missouri,98.62,0.91,134.02,0.85,152.78999999999724,0.83
2020,Montana,12.24,0.71,12.01,0.54,12.900000000000091,0.51
2020,Nebraska,19.84,0.49,43.56,0.75,61.13000000000011,0.9
2020,Nevada,48.15,0.91,109.12,1.41,91.85999999999876,0.96
2020,New Hampshire,12.39,0.88,18.92,0.96,25.829999999999927,1.03
2020,New Jersey,8.2,0.08,10.88,0.07,0.6199999999989814,0.0
2020,New Mexico,11.13,0.39,16.77,0.4,22.460000000000036,0.47
2020,New York,110.79,0.52,248.81,0.86,328.6200000000026,0.9
2020,North Carolina,272.96,1.53,431.32,1.64,521.1800000000003,1.67
2020,North Dakota,5.88,0.26,11.25,0.35,13.16000000000031,0.36
2020,Ohio,117.65,0.65,170.07,0.63,229.02999999999884,0.69
2020,Oklahoma,36.26,0.45,75.59,0.64,105.6299999999992,0.76
2020,Oregon,108.91,1.67,152.09,1.8,209.3099999999995,1.97
2020,Pennsylvania,188.1,1.03,275.74,1.0,358.57999999999447,1.07
2020,Rhode Island,2.87,0.29,5.12,0.37,7.690000000000055,0.44
2020,South Carolina,155.97,1.49,233.81,1.5,316.39000000000306,1.65
2020,South Dakota,2.61,0.17,3.84,0.18,5.480000000000018,0.22
2020,Tennessee,203.2,1.53,321.1,1.66,368.09000000000015,1.59
2020,Texas,536.65,1.05,777.15,1.0,943.1599999999889,1.05
2020,Utah,48.87,1.15,58.07,1.02,88.60999999999967,1.32
2020,Vermont,3.78,0.55,6.06,0.63,8.539999999999964,0.7
2020,Virginia,193.23,1.3,291.67,1.31,388.4399999999987,1.43
2020,Washington,252.76,1.98,325.06,1.92,422.1100000000006,1.95
2020,West Virginia,42.32,1.14,62.04,1.11,80.25,1.17
2020,Wisconsin,44.93,0.53,48.55,0.42,71.92999999999847,0.52
2020,Wyoming,13.03,0.69,14.06,0.59,12.610000000000127,0.45
2025,Alabama,556.18,4.93,813.32,4.98,1192.3499999999985,5.1
2025,Arizona,780.25,6.51,1505.48,7.83,1872.109999999997,7.92
2025,Arkansas,240.92,4.01,341.11,4.18,406.6999999999989,4.34
2025,California,1436.08,3.57,2184.25,3.66,2948.8600000000006,3.79
2025,Colorado,433.14,5.49,615.26,5.85,741.9899999999998,5.85
2025,Connecticut,54.14,1.51,77.47,1.59,103.36000000000058,1.68
