State,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%
Alabama,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.9,2035.0,12.13
Arizona,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.87,2035.0,11.03
Arkansas,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,5.22,2030.0,5.49
California,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,5.49,2035.0,5.18
Colorado,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.39,2035.0,8.93
Connecticut,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.59,2035.0,9.82
Delaware,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.85,2035.0,9.84
District of Columbia,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.58,2035.0,7.58
Florida,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.91,2035.0,7.66
Georgia,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.35,2035.0,10.62
Idaho,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.24,2035.0,11.43
Illinois,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.62,2035.0,8.08
Indiana,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.96,2035.0,9.76
Iowa,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.32,2035.0,10.01
Kansas,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.24,2035.0,10.39
Kentucky,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.45,2035.0,11.92
Louisiana,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.83,2035.0,9.56
Maine,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,5.92,2030.0,6.08
Maryland,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.32,2035.0,8.32
Massachusetts,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.82,2035.0,9.05
Michigan,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.93,2035.0,8.65
Minnesota,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.89,2035.0,8.56
Mississippi,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,5.16,2035.0,12.05
Missouri,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.17,2035.0,9.96
Montana,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.36,2035.0,11.8
Nebraska,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.33,2035.0,10.82
Nevada,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.5,2035.0,9.76
New Hampshire,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.6,2030.0,5.05
New Jersey,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.43,2035.0,7.37
New Mexico,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.02,2035.0,10.38
New York,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.63,2035.0,7.9
North Carolina,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.01,2030.0,5.13
North Dakota,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.65,2035.0,10.68
Ohio,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.22,2035.0,9.21
Oklahoma,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.78,2035.0,11.25
Oregon,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.61,2035.0,7.66
Pennsylvania,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.36,2035.0,9.34
Rhode Island,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.36,2035.0,9.59
South Carolina,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.97,2035.0,11.14
South Dakota,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.79,2035.0,11.68
Tennessee,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.47,2035.0,10.94
Texas,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.35,2035.0,9.12
